title,description,views,applications,experience,salary
Senior Python Developer,"We are looking for an employee in a project that develops online games. Your future responsibilities: — Development of network applications; — Development of automation tools. The following skills are mandatory: — Experience in a similar position for at least 3+ years; — Deep understanding of the multiprocessing, multithreading and asynchronous concepts — Experience with Debian-based Linux distributions; — Understanding of client-server architecture; — Understanding of the principles of the HTTP protocol; — Experience in developing unit-tests, including for asynchronous code; — Experience with SQLAlchemy and MariaDB/MySQL (experience with MariaDB will be a plus) — Experience with Git. The following skills are desirable: — Experience in developing networked applications using the asynchronous framework(-s) (AsynclO/Aiohttp/Tornado/Sanic, willing to train); — Experience in Tornado will be a plus; — Experience with RabbitMQ, Kafka, Nats, Redis, MariaDB/MySQL/PostgreSQL/CockroachDB; — Experience with Docker, Docker composer; — Experience with AWS/Azure; — Experience with GitLab. What we offer: — Flexible schedule — You will have the opportunity to choose where you want to work — at one of our comfortable offices or at home. We ensure comprehensive company-paid 17 paid days off during the year; unlimited sick leaves and you can request an unpaid leave of absence. — Learning and professional growth — Expert communities paid for certifications and professional events. — Growth environment — Achieving your goals is much easier with a strong team by your side. It is made up of industry experts and technology enthusiasts who work together towards a common vision. We value honesty, openness, friendliness, a positive attitude, and independence. Let’s create a cool product with us:)",64,11,,
Full Stack Developer (Python+React.js),"You’ll be given real autonomy and responsibility, as well as be able to contribute to offer features and implement improvements. Our team is the perfect place to develop your skills in an environment based on mutual trust and respect. А typical development team on a single project consists of two front-end React.JS developers, two QA Automation engineers, and two to three back-end Python engineers. Requirements: - proficient in Python, Django, and Django REST Framework (DRF); - strong knowledge of front-end development with React, Redux, and Next.js; - experience with database systems like PostgreSQL, MySQL. Responsibilities: -  develop software solutions using Python, Django, and DRF for backend functionality; -implement front-end features using React, Redux, and Next.js; - write clean, efficient, and maintainable code; - maintain documentation for application features and functionality; - stay updated with the latest trends and technologies in full stack development. Non-technical Qualification and Skills: • Excellent read & write capabilities and reasonable spoken English; • Understanding of Scrum framework and roles in a team; • Ability and desire to learn things fast; We offer: • Free English classes, technical lectures and courses; • You get 21 working days of annual leave; • We pay for your illness. We don’t need a sick list. • An ability to plan your working day: you come and go as you please provided that you have enough time to interact with the team and participate in daily meetings. • Modern cozy office in the city center (Kooperativna street);",27,5,,
Python developer,"We are looking for a Python developer   with a conversational level of English, remotely, to join the outstaff team. Full-time, 1+ year - Designing, writing and delivering software to improve the availability, scalability, latency, and efficiency of new services delivered by the Customer - Solving problems related to a new set of services delivered by the Customer. Building automation to prevent problem recurrence - Monitoring and troubleshooting infrastructure, platform and application related issues - Participating to the architectures and designs of large-scale platforms - at least 3,5 years of commercial experience with Python - Applied experience in at least one major Python project with an application/service like structure (not just standalone scripts) - OOP knowledge applied in Python - solid experience with REST API interaction - proven experience in IT Automation: experience with configuration management system such as Ansible, Terraform or Chef. - understanding of automation tool market trends and vendor positioning. Hands-on scripting and programming skills for cloud automation. - Good knowledge about concepts as well as hands-on experience with operational monitoring of Linux-based operating systems and services but also in operational and business monitoring of applications; - Proven experience Application Development: automated CI/CD, including version control (Git), automated testing, code reviews, etc.   Python OOP, AWS Services, Terraform, REST APIs, Linux, Jenkins, Ansible  Azure, Docker, Kubernetes, Github, Cloud Architecture, Cloud based DB solutions, Github Actions, GitOps",67,9,,to $4000
Middle Python Backend Developer (iGaming),"We are seeking a skilled Middle Python Backend Developer to join our dynamic team and contribute to the creation of exciting and engaging slot game experiences for our players. - Collaborate with game design and front-end development teams;  - Develop and maintain backend systems and APIs for slot games, ensuring optimal performance and reliability; - Implement server-side game logic, including mechanics, random number generation, payouts, and player progression; - Integrate third-party services and APIs (e.g., payment gateways, analytics tools) to enhance functionality and monetization of slot games; - Optimize and refactor existing code for improved performance, maintainability, and scalability; - Create comprehensive documentation for easy understanding and maintenance of backend systems; - Work with QA engineers to identify and resolve bugs and performance issues promptly; - Stay updated on industry trends, technologies, and best practices in backend development for gaming applications. - Proven experience working as a Python Backend Developer, preferably in the gaming or gambling industry; - Strong Python proficiency and knowledge of its ecosystem; - Solid understanding of OOP principles and design patterns; - Experience with Django or Flask backend frameworks; - Familiarity with PostgreSQL or MySQL databases; - Knowledge of RESTful API design principles and experience in API development; - Understanding of server-client architecture and experience with AWS or Google Cloud; - Excellent problem-solving and debugging skills; - Strong communication and teamwork abilities. - Experience with real-time applications and technologies, such as WebSocket and message queues; - Familiarity with frontend technologies like HTML5, CSS, and JavaScript; - Knowledge of containerization technologies such as Docker; - Understanding of Agile development methodologies. - Flexible work schedule; - Competitive salary in currency ($); - Free English Classes; - Friendly team of professionals; - Remote work; - An interesting innovative project; - 24 days of paid vacation leave; - 12 days of paid sick leave.",173,76,,
Python Developer,"В продуктову команду (blockchain розробка) запрошуємо Python Developer з досвідом роботи 2+ роки. Продукт на фінальному етапі розробки. Команда: 7 людей, на Python більше ніхто не пише. Шукаємо самостійного розробника, який може працювати без ментора. Стек технологій: Python3.10, Django, Django DRF, Celery, REST API, async, threading, swagger, docker, docker-compose, flastAPI, flower, postgresql, MongoDB blockchain, web3py використовуються такі механізми як сканер блокчейну, механізм взаємодії з блокчейном, механізм взаємодії з JS, адмін-панель. Основні задачі: - Розібратися в уже написаному коді - Продовжити розробку нових фіч - Виправляти знайдені баги Умови роботи: - офіс м.Вінниця (у нас є генератор та старлінк) - або дистанційно (якщо Ви гарантуєте безперебійну роботу) - графік 9−18 або 10−19 - зп по курсу USD двічі на місяць Процес найму швидкий і прозорий: - онлайн співбесіда з рекрутером - технічна співбесіда з СТО - офер",197,41,,$1500-3000
Back-end Developer,"Hello, all! For our key client  , SD Solutions is looking for     who wants to join its technical department.  is a fast-growing eLearning network founded in 1992 to prepare people for future tests. More than 500,000 candidates have set a goal and successfully achieved it by using professional online practice tools. This platform also that provides preparation materials and resources for job seekers who are preparing for pre-employment tests and assessments. - Design, develop, and maintain backend systems using   (and .NET technologies) - Develop ATS\HRES solutions from scratch - Collaborate with cross-functional teams to gather requirements, design, and develop features - Write clean, maintainable, and well-documented code - Ensure scalability, reliability, and performance of backend systems - Troubleshoot and debug issues and provide timely resolutions - Participate in project planning and estimation - Continuously learn and improve your skills and knowledge - Stay up-to-date with the latest trends and best practices in backend development - Contribute to the improvement of our development processes and methodologies Python, .Net technologies, React, SQL, NoSQL, DynamoDB, MongoDB, PostgreSQL, AWS Lambda Functions (Serverless Framework) - Bachelor's degree in Computer Science, Software Engineering or related field - Minimum of   in backend development using  - Strong understanding of software development principles and best practices - Experience with databases, such as SQL and NoSQL - Experience with RESTful APIs, JSON, and web services integration - Familiarity with containerization technologies such as Docker and Kubernetes - Experience with AWS cloud platforms (as a back-end user level) - Experience with Git or other version control system - Knowledge of UI/UX design principles - Experience with test-driven development (TDD/BDD) and continuous integration/continuous delivery (CI/CD) - Proven production experience to implement Microservices Architecture and patterns. - Familiarity with agile development methodologies - Good knowledge in Event Driven Design and Domain Driven Design - Experience with .NET technologies/ C# - is a big advantage - Experience with frontend development technologies such as   preferably (or Angular/Vue JS) - a big advantage -Full legal coverage -Paid vacation - 18 days per year (1.5 days accumulated per month) -Monthly payments. We cover you with an accountant who helps you with finances and taxes -3-month trial period -Remote work and supplies for a home office if needed -Paid sick leave – 6 days without medical documents per year",85,13,,
"Artificial Intelligence (AI), Python та Machine Learning (ML)","Ми, компанія HebronSoft, шукаємо талановитих розробників у сферах Artificial Intelligence (AI), Python та Machine Learning (ML) для нашої динамічної та інноваційної команди. 🔹 Artificial Intelligence (Chat GPT and non-chatGPT): Якщо ви маєте глибокі знання та досвід у розробці чат-ботів та систем штучного інтелекту, особливо з використанням моделей типу GPT, ми хочемо почути вас! Ви будете навчатися та працювати на захоплюючих проектах і вносити свій внесок у розвиток наших AI-рішень. 🔹 Python (NLP, Data Science): Якщо ви володієте мовою програмування Python та маєте бажання працювати з обробкою природньої мови (NLP), аналізом даних (Data Science) та розробкою алгоритмів, то ви наш ідеальний кандидат! Ви отримаєте можливість навчатися разом з нашими менторами використовувати сучасні інструменти та методології в цих галузях. 🔹 Machine Learning: Якщо ви захоплюєтесь машинним навчанням, розумієте моделі ML та маєте досвід у розробці алгоритмів та побудові прогностичних моделей, то це ваш шанс! 📌 Вимоги: - Вища освіта в сфері комп'ютерних наук, інженерії або суміжних галузях. - Досвід або проектна робота в обраних напрямах. - Знання та розуміння основних концепцій AI, Python та ML. - Вміння працювати в команді та вирішувати складні завдання. 🏢 Ми пропонуємо: ⇾ Цікаві та викликові проекти в інноваційному середовищі. ⇾ Можливість працювати з передовими технологіями та інструментами. ⇾ Навчання та особистісний розвиток у професійній команді експертів. ⇾ Робота у нашому офісі м. Львів. .натися до нашої команди та отримати незабутній досвід роботи в сфері AI, Python та ML, запрошую до спілкування. 🌐 Дізнайтеся більше про нашу компанію та проекти на нашому веб-сайті: https://hebronsoft.com/",227,35,,
Senior Python Engineer (ML/AI product),"– Experience with python3 and one of the popular web frameworks (Django, FastAPI, Celery, etc). – Experience with one of cloud vendors (AWS, GCP, Azure) – Experience with containers & Kubernetes – Experience with distributed architecture and asynchronous communication – Experience with relational databases and NoSQL. – Experience integrating and maintaining integrations with 3rd party services – Experience running production systems – Experience with AI technologies like speech-to-text, text-to-speech, and dialog engines. – Experience with ChatGPT, GPT-4, and OpenAI API. Python 3, Django, FastAPI, Celery Postgres, Redis GCP/AWS/Kubernetes, Docker – Design, implement, unit & integration test applications. – Working with DevOps team to deploy and run applications – Consulting on presales. Workload per week – full-time The team size is approximately 5 engineers Time zone: Kyiv time, Fully remote",55,22,,
Architect / Tech Lead / Staff Engineer,"Hello everyone! We are seeking a   who will join the legendary   and help build a platform that will be the foundation for an ambitious project and with which distributed teams will work. More in Q&A.    is a shopping community. We have saved our users $100M, intending to put Ukraine on the tech map of the world. Now, we're aiming to save users $100M weekly with a new, revolutionary product set to transform shopping worldwide.   Instead of spending on advertising, stores pay us money to bring in new customers. If a customer buys from one of these stores, we give them a portion of the money back. This is cashback! In this way, the store gets customers, we get our commission, and the client gets the opportunity to get some of his money back for online purchases. We are building a new product and creating three new horizontal teams within it: Group Shopping, Foundation and Community Platform and Intelligent Discovery. These teams will play a key role in shaping the future of our platform, taking our company to new heights and delivering an unprecedented customer experience. After 12 months, we want results to test the strategy and make any necessary adjustments. ● Minimum 2 years of working Tech Lead / Team Lead / Staff Engineer/Architect role ● Extensive knowledge of engineering processes, structural design, and system optimization ● Confirmed experience with designing and developing high-load distributed systems ● Solid knowledge of security best practices and ability to apply them to all aspects of work ● Excellent written and verbal communication skills ● In-depth experience with Python / GO, AWS, and all basic development tools (Docker, GIT, etc) ● Experience in designing and developing core services that use commands inside ● Proven experience in designing and implementing communication interfaces between different systems or components ● Familiarity with various communication protocols and standards, such as HTTP, REST, SOAP, MQTT, gRPC, etc. ● Expertise in architecting scalable and maintainable mobile application architectures for iOS and Android platforms ● English proficiency - B2+ ● Provide technical guidance, mentorship, and oversight to engineers across your Product Area. Advice Engineering managers on their areas of performance improvement ● Design, collaborate on, and review the architecture changes to your Area's systems ● Working closely with CTO and other Staff Engineers to improve and maintain the overall performance of the system and to develop and improve the technical strategy of a company ● Lead the design and develop the PoC of complex systems or components, ensuring that they meet the performance, scalability, and reliability requirements ● Working with Engineering managers to conduct the technical part of engineers interviews and improve the hard-skill part of the hiring process ● Lead cross-team technical projects ● Conduct research and development of new technologies and tools to improve overall efficiency and enable new business capabilities through technologies ● Write robust code for critical and most complex systems Setting technical direction for your Area in compliance with overall technical strategy ● Work with other engineering teams to identify and resolve cross-functional issues that may impact product quality or delivery ● Participate in code reviews, and promote best practices in software design and development ● Work with our Infrastructure team to continuously monitor and evaluate the performance of systems and components, identify improvement areas, and work on them ● Stay up-to-date with the latest industry trends, technologies, and best practices ● Apply technical expertise in areas such as architecture, software design, performance optimization, and security to drive the development of high-quality software solutions ● Develop and maintain a deep understanding of the technical architecture of the organization's products and systems. We value honesty and independence. Tolerance for lack of processing and uncertainty. Inevitable success and passion grow together. We are building new products and a new business infrastructure unit for this aim. A strong team with which you will have an excellent opportunity to grow professionally. CTO + 3 Staff Engineer Kyiv and Vinnytsia    - VP of Engineering  - CTO -  : Enjoy 20 working days of annual paid vacation and paid sick leaves to use as needed. -  : We understand that life happens, so we offer flexible working hours to help you balance work and personal commitments. -  : Work from anywhere with our remote-friendly policy, giving you the freedom to work in a way that suits your lifestyle. -  : Improve your language skills with our English classes and speaking clubs, helping you to communicate more effectively with colleagues and partners. -  : We believe in investing in our employees' growth, which is why we offer 50% compensation for external education to help you develop new skills and further your career. -  : Get more for your money with our X2 cashback on letyshops.com. -  : Our workspace is designed to help you feel comfortable and productive, where you can easily find everything for work, rest, and leisure. -  : We believe in helping our employees reach their full potential, which is why we offer opportunities for growth and development within the company`s fast-paced environment -   - through the Дія.Сity in Ukraine and B2B type of contract in Europe location     1. Interview with a recruiter - 30-45 min. 2. Technical interview with CTO - 45-60 min. 3. System design interview + team - 60-90 min. 4. Reference check. 5. Interview with CEO - 1 hour. Additional details: ● Is there a test assignment? - No ● Is the interview in English? - No ● Who reviews resumes? - CTO",102,4,,$7000-10000
Middle Python Developer,"is a global provider of end-to-end custom software development solutions to companies all over the globe, from North America to the EU to Israel to Australia. Headquartered in Estonia, we run offshore Research and Development centers in Kyiv and Lviv. Our team is 50% remote and distributed. We specialize in flexible interaction exclusively with international clients (we cover industries from commercial aviation to fintech) thanks to a multinational support group of experts and management. Currently, we are looking for a   The client tailors Web and mobile software to enhance every aspect of your work—streamlining and magnifying the contributions of your team, embedding best practices, and automating and optimizing at every turn.  Startups as well as leading organizations like LexisNexis, New York City Department of Education, Major League Baseball, the United Nations, and NetApp come to client for customized digital solutions. Intensive focusing on modules that drive individual parts of the business. It is an application builder which uses ready-to-use API requests to create needed web structure. The builder has two parts: — Builder itself - the part of the product where the implementation specialist will configure the application based on business requirements; — UI module - where is possible to see created structure on UI; The product may be integrated into the existing client's development process to speed up it and reduce human efforts.  CET time zone  Python, Django, Selenium/Playwright, HTML, XML. CEO and upper management are in the US, and the whole dev team is in India. — Web application development skills in Python (e.g. using Django). — Strong SQL knowledge (ideally, PostgreSQL dialect). — Experience with Selenium/Playwright technologies is preferred. — Expert in programming fundamentals (loops, flow constructs, datatypes, object/array manipulation, comparisons, functions events, etc.). — Excellent understanding of the integration between front-end applications and backend APIs. — Ability to analyze the root cause of the issues and find a quick solution for a fix. — Experience in processing various file formats (e.g. HTML, XML). — Great communication, and analytical skills. — English: Upper-Intermediate. — Web application development using Python (Django framework): creating new features, and improving existing features. — Monitor the performance, identify bottlenecks, and optimize configurations to improve scalability and response times. Implement caching mechanisms to store frequently accessed data in memory, reducing the need for repetitive database queries and improving application performance. — Implement data validation and error handling mechanisms for seamless integration with the database. — Creation of documentation. — Work closely with other members. — “Family and Friends”. We are no longer a start-up, but we still have a family atmosphere in our supportive and spirited team, all working together on the same goal. — “Just break down all barriers and find a better way”. Every day you’ll meet with exciting and challenging (international) projects covering industries from commercial aviation to fintech (different technologies and products). — “Hungry for learning”. You will get a lot of chances for career advancement and the development of new skills, mentorship opportunities, or learning from more experienced colleagues. — You’ll work with a supportive and spirited team of professionals. — Corporate events, holidays, and team buildings for your joy. — Training and development: we have a huge library (about 500 books!) and a budget for your professional development. — Coverage of psychologist sessions. — Сoverage of sports activities. — People-oriented management without bureaucracy. — Paid vacation and sick leaves.",53,7,,
Senior Full-stack Developer with OCR experience,"is a global provider of end-to-end custom software development solutions to companies all over the globe, from North America to the EU to Israel to Australia. Headquartered in Estonia, we run offshore Research and Development centers in Kyiv and Lviv. Our team is 50% remote and distributed. We specialize in flexible interaction exclusively with international clients (we cover industries from commercial aviation to fintech) thanks to a multinational support group of experts and management. Our client is a US-based startup company, they are helping pharmaceutical companies ship life-saving drugs to patients faster by automating the quality review process using ML and other technologies. They are looking for a strong developer to join the team and take over the responsibility for developing the platform and enhancements.  11 am to 8 pm Ukraine time.  Upper-intermediate+ — 8+ years of software development experience; — Proficiency in Python, Nodejs, and AWS services (Lambda, Amplify, Cognito, DynamoDB, AppSync, etc.). Knowledge of Angular is a plus.; — Experience with ML / OCR; — Strong analytical skills; — Attention to detail and ability to respond quickly; — Self-motivated, multi-tasker, and demonstrated team player; — Bachelor’s degree in a related field, such as computer science, software engineering, or data science, is recommended; — Master’s degree in Artificial Intelligence is a plus. — Drive the strategic and tactical roll-out of the  solution; — Design extraction solutions utilizing AWS Textract service; — Accurately and efficiently utilize  software to provide accurate document processing; — Collect, cleanse, and transform data with a focus on first-time quality; — Monitor the  Workflow to ensure all documents are verified and processed for extraction; — Assess the effectiveness of extraction algorithms; — Strong analytical and logical reasoning and problem-solving skills. — “Family and Friends”. We are no longer a start-up, but still, have a family atmosphere in our supportive and spirited team, who are all working together on the same goal. — “Just break down all barriers and find a better way”. Every day you’ll meet with interesting and challenging (international) projects that are covering industries from commercial aviation to fintech (different technologies, different products). — “Hungry for learning”. You will get a lot of chances for career advancement and the development of new skills, opportunities for mentorship, or learning from more experienced colleagues. — You’ll work with a supportive and spirited team of professionals. — Corporate events, holidays, and team buildings for your joy. — Training and development: we have a huge library (about 500 books!) and a budget for your professional development. — Сoverage of sports activities. — People-oriented management without bureaucracy. — Coverage of psychologist sessions. — Paid vacation and sick leaves.",13,1,,
Machine Learning Engineer,"We are looking for a responsible software engineer for a long time period who will join our project in Gamedev field. Requirements: 2+ years working in AI/ML research, training, and scaling neural networks; Strong programming skills in Python; Hands-on experience working with deep learning toolkits such as Tensorflow, PyTorch, or Keras; Ability to formulate a research problem, design, experiment, and implement solutions; Good analytical and quantitative skills, along with a healthy streak of creativity; Experience working in a team setting. As a plus: Understanding the concept and experience working with generative adversarial networks; C++/C# experience.",79,9,,
Middle/Senior Python розробник,"Ми шукаємо досвідченого   для роботи над проєктом у сфері  .  Apriorit — компанія з розробки програмного забезпечення, заснована у 2002 році, має багатий досвід у системному програмуванні, кібербезпеці, реверсивній інженерії, SaaS/web, рішеннях на основі блокчейну, штучному інтелекті тощо.    Проєкт спеціалізується на забезпеченні безпеки промислових та інших фізичних пристроїв. Клієнти з усього світу використовують нашу платформу, щоб захистити своє програмне забезпечення від кіберризиків.    - Розробка та впровадження надійних та гнучких серверних служб  - Інтеграція серверних компонентів з внутрішніми, зовнішніми та клієнтськими додатками  - Провідна роль у проєктуванні логіки та інфраструктури додатка  - Покращення ефективності, масштабованості та продуктивності додатка  - Співпраця з продуктом, дизайном, front-end та іншими стейкхолдерами з метою надання інноваційних рішень    - 4+ роки досвіду у Python розробці  - Досвід у розробці проєктів великого масштабу  - Досвід роботи з багатопотоковим програмуванням  - Досвід у розробці REST API  - Досвід роботи з хмарними середовищами (AWS, GCP, Azure та інші)  - Досвід з Git, Sqlalchemy, Flask, Docker  - Рівень англійської мови: Intermediate    - Досвід у сфері кібербезпеки  - Досвід з Kubernetes, RabbitMQ  - Професійне розуміння архітектури розподілених систем    - Віддалену роботу та гнучкий графік роботи  - Досвідчену міжнародну команду  - Привабливу заробітну плату, адаптовану до вашого досвіду  - 20 робочих днів щорічної оплачуваної відпустки та лікарняні  - Медичну страховку або компенсацію спорту  - Кар'єрне і професійне зростання  - Безкоштовні корпоративні уроки англійської мови з носієм  - Потужне обладнання (ноутбук, монітор, аксесуари)  - Підтримку mental health та інші корпоративні бонуси  Якщо Вас зацікавила ця вакансія, будь ласка, надішліть нам своє детальне резюме.",72,22,,
Expert (Team Lead) Python Developer,"Ciklum is looking for an Expert Python Developer to join our team full-time in Ukraine. We are a leading global product engineering and digital services company that unites 4000+ seasoned professionals globally on various projects in healthcare, fintech, travel, sportswear, entertainment, and security. Ciklum delivers high-impact technology solutions to Fortune 500 and fast-growing organizations worldwide.  As an Expert Python Developer, become a part of a cross-functional development team working for the VAST Data. Their team thrives in an informal and collaborative environment where team members are encouraged to grow beyond the confines of their job description or role. VAST Data is a technology company that focuses on data storage, specifically flash memory. Founded in 2016, VAST Data has a headquarter based in the US and R&D in Israel. Python 3.9, their code is running inside a container over Linux environment API Development, HTTP, REST Databases. SQL AWS Networking, Storage Virtualization, Containerization, Docker Git Design, build and set up development tools and infrastructure for use by the various teams in the R&D organization Among the different tools:  Test infrastructure used by the QA (the product is a cluster composed of different components and infrastructure encapsulates them, tracking their state, exposing different APIs to communicate with them, etc.) Maintain and develop API and interfaces facing the company storage product + different cloud providers VM orchestration Collaborate with other teams to improve the productivity of the entire R&D organization Deal with diverse technologies and domains: Docker, Git, Python, Linux, KVM (VM orchestration) 7+ years of Python development experience (Object Oriented programming) 2+ years of experience working on Linux platform, be comfortable with Linux Networking and Multiprocessing experience Experience with AWS Strong technical abilities, problem solving, design, coding and debugging skills Fluent or Upper-Intermediate English Elasticsearch, SOLR Jenking. Gitlab CI. Basic usage Azure. Google cloud Personal skills Highly motivated and independent Strong problem solver and out-of-the-box thinker Ability to lead feature development, take full ownership of tasks from A-Z and deliver independently with minimum supervision Strong communication abilities Strong multi-tasking abilities Great teammate with multi-tasking ability and good interpersonal skills Care: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultations Tailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy licence, language courses and company-paid certifications Growth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globally Flexibility: choose how you want to work – a 100% remote or on-site in our offices. Own your schedule – you are the one to decide when to start your working day. Just dont miss your regular team stand-up Opportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfil your potential Global impact: work on large-scale projects that redefine industries with international and fast-growing clients Welcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building events Discover the pros of 20-year global experience! Join one of the largest IT companies in Ukraine, awarded as one of the top 10 employers in Ukraine by Forbes. Boost your skills and make a difference with cutting-edge projects, skilled colleagues and the latest tech stacks. Ciklum has been recognised as a veteran-friendly business by the Veteran Hub in Ukraine. We're committed to creating a welcoming environment for veterans and developing processes that meet their needs. We value the skills and unique perspectives military veterans can bring to our business and are willing to support their transition to civilian life.",25,2,,
Senior Backend Developer (Python),"We’re looking for a Senior Backend Developer (Python) to join our team and work with our new cyber security customer.  Our customer offers product security for connected devices in Automative, Healthcare & Industrial. Their solution helps detect, assess and manage cyber risks for large enterprises like BMW, Audi, Siemens, Rolls Royce, Intel, Toyota, Huawei and others.  Our ideal candidate is an independent software engineer who has worked with a variety of technologies, can quickly navigate their way around new environments & problems, and takes ownership in delivering production-ready features from A to Z.  - Proven track record as a Python back-end engineer (4+ years of production hands-on experience), fluent in industry trends & best practices - Strong understanding and experience with concurrent programming - Solid experience in building scalable backend APIs (REST)  - Experience working on large scale projects with micro-services architecture  - Experience with cloud-based environments (AWS preferred, but others are also OK) - Understanding of networking: subnetting, HTTP/S, DNS, TLS, OSI Model - A consulting mindset, ability to weigh and present pros/cons of various solutions  - Intermediate+ level of English - Experience in the cyber security domain  - Proficiency in distributed systems architecture - You’re a contributor to open-source software, or run your own projects - Opportunity to become a core part of a boutique software consultancy, working with well-known international customers and complex tech challenges  - Competitive salary  - Paid vacation and sick leave  - Remote-friendly culture - Internal mentorship from an experienced CTO  - Learning & development budget ($400/year) - PE administration support - Yearly company ski trips (after Ukraine's victory 🇺🇦⛷️)",58,18,,
MLOps,"4+ years in software development, machine learning or related field. Strong understanding of machine learning concepts and frameworks (Tensorflow, Pytorch, Scikit-learn). Experience with ML Ops on AWS. Familiarity with DevOps practices and tools such as Kubernetes, Docker, Jenkins, Git. Strong knowledge of Linux. Experience of deploying ML models in production. Experience of optimizing deployment for speed (deployment w.r.t specific compute resources: GPU/TPU, multi-gpu, etc.) BSc in computer science, engineering or related field. Experience with databases such as S3, Minio, Redis. Experience with Grafana, Prometheus, Elastic stack. Would be a plus: Experience in Computer Vision field. Experience with Graph Neural Networks. Experience with MLOps platforms such as Kubeflow, MLFlow, etc. Responsibilities: Deployment of ML services in production. DevOps routines for the team (CI/CD configuration, etc.). Support of production infrastructure. Support with models optimization and development.",12,1,,
Full stack developer,"Hello, friends. My name is Galina, I am the HR of the cool IT-company WiseVision. The company works in the field of IT outsource and outstaff. Our team specializes in web - development, mobile development, creation of software for business automation. We are growing, so this is a great opportunity to join our team as a Junior/Middle Full stack developer Requirements needed for the job application: - Ionic  -  Languages: Python, JS\TS - Angular framework - Django (Rest Framework) - Docker - Postgres - experience from one year - Lviv city location (possible consideration of other cities from Ukraine) Our buns: - a cozy office in the city center with everything you need - learning English - career growth - a team with positive people - delicious breakfasts and lunches (like at home) So, if you are a young and active person who is ready and has a great desire to work and develop in this particular field, we are looking forward to your CV.",127,16,,$1000-2000
Junior/Middle Python Developer (with C++ knowledge),"As a contractor, you would be responsible for developing PPF — our framework for NC-code generation. - 1+ year  of commercial experience with Python. - At least basic knowledge of C++ & Git, and a general interest in software development - Knowledge of abstract language definition, parsing, abstract syntax analysis and production automation can be helpful. - Motivation to work on the backend of our software as well as working in cooperation with customers and in customer projects which also includes project management skills.  - Education/Degree in computer science, physics or other engineering Good English language skills (at least upper-intermediate), team player. Would be a plus - Basic knowledge of NC code generation and general aspects of the CAD/CAM world. In a small team, you will help develop the PPFramework. You will interface with colleagues in toolpath development, simulation, and product management. ModuleWorks develops software components for the CAD/CAM industry that are used to control and simulate CNC machines and robots. We use sophisticated mathematical concepts, data structures, and algorithms as well as modern development tools. With over 230 employees and more than 70% of the global market share, ModuleWorks is the leading company in this sector. Company website: www.moduleworks.com",179,19,,
Middle Python Software Engineer (Prom.ua),"– найбільший маркетплейс України, де продаються понад 100 млн товарів від десятків тисяч підприємців з усієї країни. кожен покупець може знайти все, що потрібно, за найкращою ціною: від зубної щітки до культиватора для саду та городу. кожен підприємець може продавати товари в каталозі маркетплейса, на сайті, створеному на платформі Prom та у мобільному додатку “Prom покупки”. щодня маркетплейс відвідують 4,8 млн осіб на маркетплейсі працюють понад 60 тис. компаній у каталозі 102,5 млн товарів Мови програмування: Python 3, JS, Go Сервіси: PostgreSQL, Redis, Kafka, ElasticSearch, ClickHouse, MongoDB Інфраструктура: Self-hosted Kubernetes, Openstack. Портал prom.ua працює в Kubernetes як сукупність незалежних сервісів. Налагодженні системи логування (kibana), моніторингу (prometheus/grafana), CI/CD (gitlab). Більша частина сервісів написана на Python 3.10 (синхронний та асинхронний) Інша частина на Go. Міжсервісна комунікація налагоджена через gRPC, REST, Kafka. У якості бази даних використовується PostgreSQL Для зберігання великих об’ємів даних — ClickHouse. Також MongoDB в основному для файлів (gridfs). Client side написано на JavaScript. З використанням ReactJS та інших відомих  бібліотек.  7 Developers, Team Lead, 3 QA, Product Manager Кабінет продавця, що дозволяє налаштовувати рекламні кампанії, встановлювати ставки на рекламу, дивитися аналітику відображення реклами та конверсії. Ведення обліку списання грошей за конверсійні дії з рекламою: кліки, замовлення. Ранжування. Аналіз якості рекламного оголошення: конверсії в кліки і в замовлення, рейтинги продавця, кількість відмін замовлень і інші показники “якості”. Інтеграція зі сторонніми рекламними мережами для просування продуктів в мережах партнерів: google, rtbhouse, criteo. Впевнене знання мови програмування Python. Та принципів побудови асинхронних програм. Вміти будувати розподілені сервіси.  Розуміти як працюють WEB-застосунки Буде плюсом вміння написання простих UI на будь-якому JS фреймворку.  Буде плюсом знання Go. Технічний борг в нашому проєкті один з пріоритетів на який завжди виділяється час. Команда працює за гнучкою методологією, не боїмося підлаштовувати процеси під себе У кожного розробника є глибоке розуміння всієї системи та інфраструктури, розробка це не тільки про код, але і про особисте зростання та культуру Ми цінуємо work-life balance Немає великої кількості мітингів Знайомство (до 30 хв) Технічне інтерв’ю (тривалість 1,5 години). Обговоримо всі важливі питання по стеку, досвіду, завданням. Фінальне інтерв’ю (тривалість 30 хвилин)",67,18,,
